,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/7/9,49.54171371,1988.300049,199.2100067,1124.829956,379.9299927,50.31000137,1988.300049,199.2100067,1124.829956,379.9299927,50.37749863,1990.01001,199.4600067,1128.025024,384.7600098,49.70249939,1943.47998,194.8899994,1107.170044,377.5,49.79999924,1947.800049,194.9700012,1111.800049,379.0599976,82312000,4345700,14698600,1330400,6932800
2019/7/10,50.0316124,2017.410034,202.7299957,1140.47998,381,50.80749893,2017.410034,202.7299957,1140.47998,381,50.93249893,2024.939941,202.9600067,1142.050049,384.3399963,50.38999939,1995.400024,199.6699982,1130.969971,362.6799927,50.46250153,1996.51001,200,1131.219971,382.769989,71588400,4931900,20571700,1209500,5878800
2019/7/11,49.66725922,2001.069946,201.2299957,1144.209961,379.5,50.4375,2001.069946,201.2299957,1144.209961,379.5,51.09749985,2035.800049,203.8000031,1153.069946,384.5400085,50.42750168,1995.300049,200.2100067,1139.579956,378.7999878,50.82749939,2025.619995,203.2599945,1143.25,381.1000061,80767200,4317800,13678500,1195500,4336300
2019/7/12,50.0488472,2011,204.8699951,1144.900024,373.25,50.82500076,2011,204.8699951,1144.900024,373.25,51,2017,205.3000031,1147.339966,379.7399902,50.54999924,2003.869995,199.1600037,1138.780029,372.7900085,50.61249924,2008.27002,199.6799927,1143.98999,378.6799927,70380800,2509300,15366300,864000,6636900
2019/7/15,50.5190506,2020.98999,203.9100037,1150.339966,366.6000061,51.30250168,2020.98999,203.9100037,1150.339966,366.6000061,51.46749878,2022.900024,205.3300018,1150.819946,373.6799927,51,2001.550049,201.8200073,1139.400024,362.2999878,51.02249908,2021.400024,204.25,1146.859985,372.9400024,67789600,2981300,16030300,903800,7944700
2019/7/16,50.34425735,2009.900024,203.8399963,1153.579956,365.9899902,51.125,2009.900024,203.8399963,1153.579956,365.9899902,51.52750015,2026.319946,205.4700012,1158.579956,371.3399963,50.875,2001.219971,203.1000061,1145,364.9200134,51.14749908,2010.579956,203.8899994,1146,370.0899963,67467200,2618200,12132700,1238800,5863200
2019/7/17,50.06115341,1992.030029,201.8000031,1146.349976,362.4400024,50.83750153,1992.030029,201.8000031,1146.349976,362.4400024,51.27249908,2012,204.3600006,1158.359985,366.5,50.81750107,1992.030029,201.5899963,1145.77002,361.75,51.01250076,2007.050049,204.1799927,1150.969971,366.25,56430000,2558800,12083700,1170000,13639500
2019/7/18,50.62983322,1977.900024,200.7799988,1146.329956,325.2099915,51.41500092,1977.900024,200.7799988,1146.329956,325.2099915,51.47000122,1987.5,202.4700012,1147.60498,329.8500061,50.92499924,1951.550049,199.3800049,1132.72998,320.2999878,51,1980.01001,200.1499939,1141.73999,323.7600098,74162400,3486900,11937900,1290700,31287100
2019/7/19,49.87405396,1964.52002,198.3600006,1130.099976,315.1000061,50.64749908,1964.52002,198.3600006,1130.099976,315.1000061,51.625,1996,202.3300018,1151.140015,325.8500061,50.59000015,1962.22998,198.0700073,1129.619995,314.230011,51.44749832,1991.209961,202.1799927,1148.189941,323.3999939,83717200,3185600,12098300,1647200,16302500
2019/7/22,51.01387405,1985.630005,202.3200073,1138.069946,310.6199951,51.80500031,1985.630005,202.3200073,1138.069946,310.6199951,51.80749893,1989,202.5700073,1139.25,314.5400085,50.90250015,1958.26001,198.8099976,1124.23999,305.8099976,50.91249847,1971.140015,199.9100037,1133.449951,312,89111600,2900000,13589000,1301500,17718000
2019/7/23,51.41268921,1994.48999,202.3600006,1146.209961,307.2999878,52.20999908,1994.48999,202.3600006,1146.209961,307.2999878,52.22750092,1997.790039,204.2400055,1146.900024,313.5,51.82249832,1973.130005,200.9600067,1131.800049,306,52.11500168,1995.98999,202.8399963,1144,311.4400024,73420800,2703500,14583700,1093700,9171100
2019/7/24,51.37084961,2000.810059,204.6600037,1137.810059,317.9400024,52.16749954,2000.810059,204.6600037,1137.810059,317.9400024,52.28749847,2001.300049,204.8099976,1144,319.9899902,51.79249954,1965.869995,197.2200012,1126.98999,307.25,51.91749954,1969.300049,197.6300049,1131.900024,310.5100098,59966400,2631300,32532500,1589800,11961800
2019/7/25,50.96464157,1973.819946,200.7100067,1132.119995,326.4599915,51.75500107,1973.819946,200.7100067,1132.119995,326.4599915,52.31000137,2001.199951,208.6600037,1141.699951,327.6900024,51.68249893,1972.719971,198.2599945,1120.920044,316.2999878,52.22249985,2001,206.6999969,1137.819946,318.8599854,55638400,4136500,39889900,2209800,10798500
2019/7/26,51.14189148,1943.050049,199.75,1250.410034,335.7799988,51.93500137,1943.050049,199.75,1250.410034,335.7799988,52.43249893,1950.900024,202.8800049,1265.550049,336,51.78499985,1924.51001,196.25,1224,327.5,51.86999893,1942,200.1900024,1224.040039,328.7900085,70475600,4927100,24434000,4805800,10847500
2019/7/29,51.61948013,1912.449951,195.9400024,1239.410034,332.7000122,52.41999817,1912.449951,195.9400024,1239.410034,332.7000122,52.65999985,1932.22998,199.6300049,1247.369995,336.3999939,52.11000061,1890.540039,195.3000031,1228.22998,328.769989,52.11500168,1930,199,1241.050049,335.980011,86693600,4493200,16530800,2223700,5782800
2019/7/30,51.3979187,1898.530029,197.0399933,1225.140015,325.9299927,52.19499969,1898.530029,197.0399933,1225.140015,325.9299927,52.54000092,1909.890015,198.7100067,1234.869995,329.6499939,51.82749939,1883.47998,193.5,1223.300049,323.230011,52.18999863,1891.119995,195.3899994,1225.410034,329.2000122,135742800,2910900,11903600,1453300,6029300
2019/7/31,52.44665909,1866.780029,194.2299957,1216.680054,322.9899902,53.25999832,1866.780029,194.2299957,1216.680054,322.9899902,55.34249878,1899.550049,198.7599945,1234,331.769989,52.82500076,1849.439941,192.6799927,1207.764038,318.5299988,54.10499954,1898.109985,196.9499969,1223,325.1600037,277125600,4470700,14593500,1725500,6259500
2019/8/1,51.31175613,1855.319946,192.7299957,1209.01001,319.5,52.10749817,1855.319946,192.7299957,1209.01001,319.5,54.50749969,1897.920044,198.4700012,1234.109985,328.5799866,51.68500137,1844.01001,190.8800049,1205.719971,318.7399902,53.47499847,1871.719971,194.1699982,1214.030029,324.25,216071600,4713300,17777000,1698500,6563200
2019/8/2,50.22609329,1823.23999,189.0200043,1193.98999,318.8299866,51.00500107,1823.23999,189.0200043,1193.98999,318.8299866,51.60749817,1846.359985,192.6199951,1206.900024,319.4100037,50.40750122,1808.02002,188.0700073,1188.939941,311.7999878,51.38249969,1845.069946,191.1000061,1200.73999,317.4899902,163448400,4956200,15297000,1645100,6280300
2019/8/5,47.59685898,1765.130005,181.7299957,1152.319946,307.6300049,48.33499908,1765.130005,181.7299957,1152.319946,307.6300049,49.66249847,1788.670044,185.6699982,1175.23999,313.4200134,48.14500046,1748.780029,179.3399963,1140.140015,304.6799927,49.49750137,1770.219971,184.6900024,1170.040039,310.9599915,209572000,6058200,23086700,2597500,8692500
2019/8/6,48.49789429,1787.829956,184.5099945,1169.949951,310.1000061,49.25,1787.829956,184.5099945,1169.949951,310.1000061,49.51750183,1793.77002,185.7899933,1179.959961,311.8800049,48.50999832,1753.400024,183.0899963,1160,305.2999878,49.07749939,1792.22998,183.6900024,1163.310059,310.5799866,143299200,5070300,18035700,1709400,6179100
