Date,AMD,CSCO,INTC,INTU,NVDA
2017/10/3,13.42,29.576139,35.16692,137.166885,44.393162
2017/10/4,13.31,29.470388,35.131199,137.959778,44.764404
2017/10/5,13.34,29.602589,35.300869,138.143524,44.739658
2017/10/6,13.23,29.743591,35.390171,139.80159,44.870819
2017/10/9,13.47,29.752403,35.59557,139.588257,45.883087
2017/10/10,13.7,29.567326,35.408035,139.80159,46.759216
2017/10/11,13.88,29.602589,35.09547,139.297348,47.256683
2017/10/12,14.2,29.311752,34.997246,141.430573,47.278961
2017/10/13,14.22,29.49683,35.425884,141.226913,48.160042
2017/10/16,14.26,29.558521,35.50626,140.344574,48.986675
2017/10/17,14.16,29.611395,35.533051,141.081528,48.942116
2017/10/18,14.07,29.567326,35.94384,141.343262,48.900055
2017/10/19,13.95,29.743591,35.800953,142.167465,48.954494
2017/10/20,13.81,30.184237,36.10458,143.476471,48.731743
2017/10/23,14.1,30.272366,36.461784,142.846222,48.662445
2017/10/24,14.25,30.475065,36.568947,144.106735,49.172291
2017/10/25,12.33,30.228302,36.417133,144.921204,47.929867
2017/10/26,12.01,30.20186,36.926151,146.734436,48.432278
2017/10/27,11.84,30.342869,39.649849,148.799774,49.95932
2017/10/30,10.89,29.999174,39.623062,146.850845,50.449364
2017/10/31,10.99,30.096102,40.62323,146.433884,51.184418
2017/11/1,10.8,30.510311,41.712711,146.763519,51.280945
2017/11/2,10.85,30.148985,42.060986,147.529541,50.969097
2017/11/3,11.12,30.378122,41.38229,148.974289,51.649715
2017/11/6,11.93,30.325241,41.950928,148.043427,51.882366
2017/11/7,12.05,30.316433,42.022789,147.878601,52.476353
2017/11/8,11.71,30.404556,41.950928,148.314972,51.766029
2017/11/9,11.12,30.007975,41.591602,147.781631,50.815659
2017/11/10,11.26,29.955101,40.944824,148.644608,53.493549
2017/11/13,11.09,29.919846,41.097538,150.186371,52.62484
2017/11/14,11.12,29.999174,41.19635,150.496628,53.008457
2017/11/15,11.07,30.060854,40.837017,149.187607,51.968983
2017/11/16,11.25,31.620743,41.007702,150.923264,52.372402
2017/11/17,11.38,31.638363,40.091427,151.795929,52.310532
2017/11/20,11.34,32.167137,40.082447,152.988571,52.983711
2017/11/21,11.4,32.299332,40.3699,147.18045,53.471272
2017/11/22,11.37,32.123085,40.109398,147.025345,53.231033
2017/11/24,11.38,32.158329,40.199226,149.236099,53.733795
2017/11/27,11.55,32.493221,39.96566,150.069992,53.035378
2017/11/28,11.17,33.251133,40.181255,151.059021,52.185883
2017/11/29,10.83,33.0308,39.480576,149.536682,48.646721
2017/11/30,10.89,32.872169,40.280071,152.445587,49.709217
2017/12/1,10.73,33.136566,40.136341,151.689285,48.958782
2017/12/4,10.03,33.242325,39.96566,149.846954,46.2295
2017/12/5,9.91,32.880997,39.022442,149.779114,46.496979
2017/12/6,10,32.969124,39.031429,151.446854,46.873428
2017/12/7,10.04,32.9603,38.699055,150.836014,47.549557
