Start,End,Comment
30/11/1988,31/10/1993,Rolling 250
31/12/1988,30/11/1993,Rolling 251
31/01/1989,31/12/1993,Rolling 252
28/02/1989,31/01/1994,Rolling 253
31/03/1989,28/02/1994,Rolling 254
30/04/1989,31/03/1994,Rolling 255
31/05/1989,30/04/1994,Rolling 256
30/06/1989,31/05/1994,Rolling 257
31/07/1989,30/06/1994,Rolling 258
31/08/1989,31/07/1994,Rolling 259
30/09/1989,31/08/1994,Rolling 260
31/10/1989,30/09/1994,Rolling 261
30/11/1989,31/10/1994,Rolling 262
31/12/1989,30/11/1994,Rolling 263
31/01/1990,31/12/1994,Rolling 264
28/02/1990,31/01/1995,Rolling 265
31/03/1990,28/02/1995,Rolling 266
30/04/1990,31/03/1995,Rolling 267
31/05/1990,30/04/1995,Rolling 268
30/06/1990,31/05/1995,Rolling 269
31/07/1990,30/06/1995,Rolling 270
31/08/1990,31/07/1995,Rolling 271
30/09/1990,31/08/1995,Rolling 272
31/10/1990,30/09/1995,Rolling 273
30/11/1990,31/10/1995,Rolling 274
31/12/1990,30/11/1995,Rolling 275
31/01/1991,31/12/1995,Rolling 276
28/02/1991,31/01/1996,Rolling 277
31/03/1991,29/02/1996,Rolling 278
30/04/1991,31/03/1996,Rolling 279
31/05/1991,30/04/1996,Rolling 280
30/06/1991,31/05/1996,Rolling 281
31/07/1991,30/06/1996,Rolling 282
31/08/1991,31/07/1996,Rolling 283
30/09/1991,31/08/1996,Rolling 284
31/10/1991,30/09/1996,Rolling 285
30/11/1991,31/10/1996,Rolling 286
31/12/1991,30/11/1996,Rolling 287
31/01/1992,31/12/1996,Rolling 288
29/02/1992,31/01/1997,Rolling 289
31/03/1992,28/02/1997,Rolling 290
30/04/1992,31/03/1997,Rolling 291
31/05/1992,30/04/1997,Rolling 292
30/06/1992,31/05/1997,Rolling 293
31/07/1992,30/06/1997,Rolling 294
31/08/1992,31/07/1997,Rolling 295
30/09/1992,31/08/1997,Rolling 296
31/10/1992,30/09/1997,Rolling 297
30/11/1992,31/10/1997,Rolling 298
31/12/1992,30/11/1997,Rolling 299
31/01/1993,31/12/1997,Rolling 300
28/02/1993,31/01/1998,Rolling 301
31/03/1993,28/02/1998,Rolling 302
30/04/1993,31/03/1998,Rolling 303
31/05/1993,30/04/1998,Rolling 304
30/06/1993,31/05/1998,Rolling 305
31/07/1993,30/06/1998,Rolling 306
31/08/1993,31/07/1998,Rolling 307
30/09/1993,31/08/1998,Rolling 308
31/10/1993,30/09/1998,Rolling 309
30/11/1993,31/10/1998,Rolling 310
31/12/1993,30/11/1998,Rolling 311
31/01/1994,31/12/1998,Rolling 312
28/02/1994,31/01/1999,Rolling 313
