,Start,End,Comment,AR_IC,LR_IC,DT_IC,RF_IC,XB_IC,AR_HR,LR_HR,DT_HR,RF_HR,XB_HR,AR_RMSFE,LR_RMSFE,DT_RMSFE,RF_RMSFE,XB_RMSFE
67,31/10/1971,30/09/1976,Rolling 45,-0.07,0.3,0.12,0.19,0.13,0.55,0.57,0.52,0.65,0.53,0.051278541,0.049489813,0.055121633,0.050105828,0.050656222
173,NA,NA,Relative to AR:,0,0.37,0.19,0.26,0.2,0,0.02,-0.03,0.1,-0.02,1,0.965117,1.074945,0.977131,0.987864
68,30/11/1971,31/10/1976,Rolling 46,-0.07,0.34,0.11,0.2,0.13,0.55,0.58,0.52,0.65,0.53,0.0510604,0.048448048,0.055490052,0.049897802,0.05049893
174,NA,NA,Relative to AR:,0,0.41,0.18,0.27,0.2,0,0.03,-0.03,0.1,-0.02,1,0.948838,1.086753,0.977231,0.989004
69,31/12/1971,30/11/1976,Rolling 47,-0.07,0.34,0.11,0.2,0.12,0.55,0.58,0.52,0.63,0.53,0.051071646,0.048494012,0.05595966,0.049930667,0.050740618
175,NA,NA,Relative to AR:,0,0.41,0.18,0.27,0.19,0,0.03,-0.03,0.08,-0.02,1,0.949529,1.095709,0.977659,0.993518
70,31/01/1972,31/12/1976,Rolling 48,-0.08,0.34,0.11,0.22,0.12,0.55,0.58,0.52,0.65,0.53,0.05046797,0.047656794,0.055379378,0.048914133,0.050120233
176,NA,NA,Relative to AR:,0,0.42,0.19,0.3,0.2,0,0.03,-0.03,0.1,-0.02,1,0.944298,1.097317,0.969211,0.99311
71,29/02/1972,31/01/1977,Rolling 49,-0.09,0.32,0.12,0.21,0.12,0.55,0.58,0.53,0.67,0.52,0.050851859,0.048282374,0.055487283,0.049151576,0.050703862
177,NA,NA,Relative to AR:,0,0.41,0.21,0.3,0.21,0,0.03,-0.02,0.12,-0.03,1,0.949471,1.091155,0.966564,0.99709
72,31/03/1972,28/02/1977,Rolling 50,-0.09,0.33,0.1,0.2,0.1,0.57,0.6,0.52,0.65,0.5,0.050841883,0.048090152,0.056233223,0.049388248,0.051051412
178,NA,NA,Relative to AR:,0,0.42,0.19,0.29,0.19,0,0.03,-0.05,0.08,-0.07,1,0.945877,1.106041,0.971409,1.004121
73,30/04/1972,31/03/1977,Rolling 51,-0.09,0.32,0.1,0.19,0.11,0.58,0.6,0.53,0.65,0.5,0.050864491,0.048147528,0.056436216,0.049435692,0.05105004
179,NA,NA,Relative to AR:,0,0.41,0.19,0.28,0.2,0,0.02,-0.05,0.07,-0.08,1,0.946584,1.109541,0.97191,1.003648
74,31/05/1972,30/04/1977,Rolling 52,-0.09,0.32,0.1,0.19,0.11,0.6,0.62,0.52,0.63,0.48,0.050863766,0.048148139,0.056434311,0.04947136,0.051017877
180,NA,NA,Relative to AR:,0,0.41,0.19,0.28,0.2,0,0.02,-0.08,0.03,-0.12,1,0.94661,1.109519,0.972625,1.00303
75,30/06/1972,31/05/1977,Rolling 53,-0.1,0.32,0.1,0.18,0.11,0.62,0.63,0.52,0.65,0.47,0.050902655,0.048149626,0.05643021,0.049550752,0.051147399
182,NA,NA,Relative to AR:,0,0.42,0.2,0.28,0.21,0,0.01,-0.1,0.03,-0.15,1,0.945916,1.108591,0.973441,1.004808
76,31/07/1972,30/06/1977,Rolling 54,-0.09,0.29,0.11,0.18,0.11,0.6,0.62,0.52,0.63,0.48,0.051142762,0.049701261,0.056550566,0.049975367,0.05112978
183,NA,NA,Relative to AR:,0,0.38,0.2,0.27,0.2,0,0.02,-0.08,0.03,-0.12,1,0.971814,1.105739,0.977174,0.999746
77,31/08/1972,31/07/1977,Rolling 55,-0.09,0.29,0.11,0.18,0.12,0.6,0.62,0.53,0.63,0.5,0.051167815,0.049780635,0.056618709,0.049997492,0.051123263
184,NA,NA,Relative to AR:,0,0.38,0.2,0.27,0.21,0,0.02,-0.07,0.03,-0.1,1,0.97289,1.10653,0.977128,0.999129
78,30/09/1972,31/08/1977,Rolling 56,-0.1,0.28,0.11,0.18,0.1,0.62,0.62,0.55,0.63,0.48,0.051055323,0.049725535,0.056452857,0.049930172,0.051239145
185,NA,NA,Relative to AR:,0,0.38,0.21,0.28,0.2,0,0,-0.07,0.01,-0.14,1,0.973954,1.105719,0.977962,1.0036
79,31/10/1972,30/09/1977,Rolling 57,-0.1,0.28,0.11,0.18,0.1,0.63,0.62,0.57,0.63,0.48,0.051040405,0.049770646,0.056427501,0.049915534,0.051218222
186,NA,NA,Relative to AR:,0,0.38,0.21,0.28,0.2,0,-0.01,-0.06,0,-0.15,1,0.975122,1.105546,0.977961,1.003484
80,30/11/1972,31/10/1977,Rolling 58,-0.09,0.29,0.11,0.18,0.11,0.65,0.63,0.58,0.65,0.5,0.051314832,0.049722241,0.056444774,0.050064031,0.051613302
187,NA,NA,Relative to AR:,0,0.38,0.2,0.27,0.2,0,-0.02,-0.07,0,-0.15,1,0.968964,1.09997,0.975625,1.005816
