,Start,End,Comment,AR_IC,LR_IC,DT_IC,RF_IC,XB_IC,AR_HR,LR_HR,DT_HR,RF_HR,XB_HR,AR_RMSFE,LR_RMSFE,DT_RMSFE,RF_RMSFE,XB_RMSFE
242,31/05/1986,30/04/1991,Rolling 220,-0.27,0.06,-0.15,-0.11,-0.23,0.43,0.5,0.43,0.45,0.57,0.057859654,0.058976656,0.068384575,0.058974663,0.059874903
1266,NA,NA,Relative to AR:,0,0.33,0.12,0.16,0.04,0,0.07,0,0.02,0.14,1,1.019305,1.181904,1.019271,1.03483
243,30/06/1986,31/05/1991,Rolling 221,-0.27,0.05,-0.17,-0.12,-0.22,0.43,0.5,0.42,0.45,0.57,0.057736524,0.058895533,0.068806725,0.058984756,0.059753873
1267,NA,NA,Relative to AR:,0,0.32,0.1,0.15,0.05,0,0.07,-0.01,0.02,0.14,1,1.020074,1.191737,1.021619,1.034941
244,31/07/1986,30/06/1991,Rolling 222,-0.27,0.04,-0.17,-0.12,-0.23,0.42,0.48,0.4,0.43,0.55,0.058220422,0.059508681,0.069167868,0.059517237,0.060588865
1268,NA,NA,Relative to AR:,0,0.31,0.1,0.15,0.04,0,0.06,-0.02,0.01,0.13,1,1.022127,1.188034,1.022274,1.040681
245,31/08/1986,31/07/1991,Rolling 223,-0.28,0.06,-0.15,-0.1,-0.24,0.42,0.5,0.42,0.45,0.57,0.057770897,0.058789422,0.068477665,0.058777055,0.059849942
1269,NA,NA,Relative to AR:,0,0.34,0.13,0.18,0.04,0,0.08,0,0.03,0.15,1,1.01763,1.185332,1.017416,1.035988
246,30/09/1986,31/08/1991,Rolling 224,-0.27,0.05,-0.15,-0.11,-0.24,0.43,0.5,0.42,0.45,0.57,0.057187296,0.058514341,0.06829528,0.058446212,0.059533492
1270,NA,NA,Relative to AR:,0,0.32,0.12,0.16,0.03,0,0.07,-0.01,0.02,0.14,1,1.023205,1.194239,1.022014,1.041027
247,31/10/1986,30/09/1991,Rolling 225,-0.27,0.03,-0.16,-0.12,-0.28,0.43,0.48,0.42,0.45,0.57,0.055829513,0.057744903,0.067384337,0.057251156,0.058243863
1272,NA,NA,Relative to AR:,0,0.3,0.11,0.15,-0.01,0,0.05,-0.01,0.02,0.14,1,1.034308,1.206966,1.025464,1.043245
248,30/11/1986,31/10/1991,Rolling 226,-0.26,0.02,-0.16,-0.13,-0.27,0.43,0.48,0.42,0.45,0.57,0.055470621,0.057614826,0.067178568,0.057088278,0.058086417
1273,NA,NA,Relative to AR:,0,0.28,0.1,0.13,-0.01,0,0.05,-0.01,0.02,0.14,1,1.038655,1.211066,1.029162,1.047156
249,31/12/1986,30/11/1991,Rolling 227,-0.25,0,-0.16,-0.13,-0.26,0.42,0.48,0.42,0.45,0.57,0.055831092,0.05834878,0.067661356,0.057340367,0.05862007
1274,NA,NA,Relative to AR:,0,0.25,0.09,0.12,-0.01,0,0.06,0,0.03,0.15,1,1.045095,1.211894,1.027033,1.049954
250,31/01/1987,31/12/1991,Rolling 228,-0.29,0.03,-0.11,-0.12,-0.22,0.42,0.5,0.43,0.45,0.58,0.057341779,0.059132971,0.067266207,0.058460955,0.059048757
1275,NA,NA,Relative to AR:,0,0.32,0.18,0.17,0.07,0,0.08,0.01,0.03,0.16,1,1.031237,1.173075,1.019518,1.029768
251,28/02/1987,31/01/1992,Rolling 229,-0.33,-0.01,-0.11,-0.12,-0.12,0.4,0.48,0.43,0.45,0.58,0.055805641,0.057918905,0.065648916,0.056515583,0.05715065
1276,NA,NA,Relative to AR:,0,0.32,0.22,0.21,0.21,0,0.08,0.03,0.05,0.18,1,1.037868,1.176385,1.012722,1.024102
252,31/03/1987,29/02/1992,Rolling 230,-0.32,0.01,-0.11,-0.12,-0.13,0.4,0.5,0.43,0.45,0.58,0.055589744,0.05740018,0.065616012,0.056466181,0.057151227
1277,NA,NA,Relative to AR:,0,0.33,0.21,0.2,0.19,0,0.1,0.03,0.05,0.18,1,1.032568,1.180362,1.015766,1.028089
253,30/04/1987,31/03/1992,Rolling 231,-0.31,0.01,-0.11,-0.12,-0.13,0.38,0.52,0.43,0.45,0.57,0.05564613,0.05740204,0.065522012,0.056520799,0.057442884
1278,NA,NA,Relative to AR:,0,0.32,0.2,0.19,0.18,0,0.14,0.05,0.07,0.19,1,1.031555,1.177477,1.015718,1.032289
254,31/05/1987,30/04/1992,Rolling 232,-0.31,0.01,-0.11,-0.13,-0.14,0.38,0.52,0.45,0.45,0.58,0.055687763,0.057455024,0.065335992,0.056553722,0.057360897
1279,NA,NA,Relative to AR:,0,0.32,0.2,0.18,0.17,0,0.14,0.07,0.07,0.2,1,1.031735,1.173256,1.01555,1.030045
255,30/06/1987,31/05/1992,Rolling 233,-0.32,0.01,-0.11,-0.13,-0.14,0.37,0.53,0.47,0.47,0.57,0.055666685,0.057324145,0.06532955,0.056540969,0.057421807
1280,NA,NA,Relative to AR:,0,0.33,0.21,0.19,0.18,0,0.16,0.1,0.1,0.2,1,1.029775,1.173584,1.015706,1.031529
256,31/07/1987,30/06/1992,Rolling 234,-0.33,0.02,-0.11,-0.11,-0.11,0.37,0.53,0.47,0.48,0.55,0.055590447,0.056857458,0.065024516,0.056123592,0.05736348
1282,NA,NA,Relative to AR:,0,0.35,0.22,0.22,0.22,0,0.16,0.1,0.11,0.18,1,1.022792,1.169707,1.009591,1.031895
257,31/08/1987,31/07/1992,Rolling 235,-0.34,0.04,-0.1,-0.12,-0.11,0.35,0.55,0.47,0.48,0.55,0.055621505,0.056507584,0.064935911,0.056176158,0.057325845
1283,NA,NA,Relative to AR:,0,0.38,0.24,0.22,0.23,0,0.2,0.12,0.13,0.2,1,1.015931,1.167461,1.009972,1.030642
258,30/09/1987,31/08/1992,Rolling 236,-0.33,0.04,-0.09,-0.11,-0.07,0.33,0.55,0.48,0.5,0.53,0.055640378,0.056319816,0.064517356,0.056006194,0.057398203
1284,NA,NA,Relative to AR:,0,0.37,0.24,0.22,0.26,0,0.22,0.15,0.17,0.2,1,1.012211,1.159542,1.006575,1.031593
259,31/10/1987,30/09/1992,Rolling 237,-0.33,0.05,-0.1,-0.11,-0.09,0.33,0.55,0.48,0.5,0.55,0.055449695,0.056331392,0.064579481,0.055933782,0.057244956
1285,NA,NA,Relative to AR:,0,0.38,0.23,0.22,0.24,0,0.22,0.15,0.17,0.22,1,1.015901,1.16465,1.00873,1.032376
260,30/11/1987,31/10/1992,Rolling 238,-0.32,0.04,-0.02,-0.01,0.02,0.33,0.53,0.48,0.52,0.55,0.043712059,0.046156958,0.05260166,0.043317368,0.044430009
1286,NA,NA,Relative to AR:,0,0.36,0.3,0.31,0.34,0,0.2,0.15,0.19,0.22,1,1.055932,1.203367,0.990971,1.016425
261,31/12/1987,30/11/1992,Rolling 239,-0.12,0,0.02,0.01,0.09,0.35,0.52,0.48,0.52,0.57,0.039603812,0.045271014,0.050348942,0.041273921,0.041412926
1287,NA,NA,Relative to AR:,0,0.12,0.14,0.13,0.21,0,0.17,0.13,0.17,0.22,1,1.143097,1.271316,1.04217,1.04568
262,31/01/1988,31/12/1992,Rolling 240,-0.3,-0.05,-0.02,-0.06,0.03,0.33,0.5,0.47,0.5,0.57,0.039308298,0.0452632,0.050489549,0.041195331,0.041202998
1288,NA,NA,Relative to AR:,0,0.25,0.28,0.24,0.33,0,0.17,0.14,0.17,0.24,1,1.151492,1.28445,1.048006,1.048201
263,29/02/1988,31/01/1993,Rolling 241,-0.29,-0.04,-0.01,-0.07,0.04,0.35,0.52,0.47,0.5,0.57,0.039023425,0.044774905,0.049737573,0.041037095,0.041159592
1289,NA,NA,Relative to AR:,0,0.25,0.28,0.22,0.33,0,0.17,0.12,0.15,0.22,1,1.147385,1.274557,1.051602,1.054741
264,31/03/1988,28/02/1993,Rolling 242,-0.3,-0.14,-0.01,-0.08,0.02,0.35,0.5,0.45,0.48,0.57,0.03884,0.043697929,0.049733491,0.040948702,0.041125283
1290,NA,NA,Relative to AR:,0,0.16,0.29,0.22,0.32,0,0.15,0.1,0.13,0.22,1,1.125075,1.280471,1.054292,1.058838
265,30/04/1988,31/03/1993,Rolling 243,-0.3,-0.11,0,-0.05,0,0.37,0.5,0.47,0.5,0.58,0.038459156,0.042591662,0.049130678,0.040279,0.040601613
1292,NA,NA,Relative to AR:,0,0.19,0.3,0.25,0.3,0,0.13,0.1,0.13,0.21,1,1.107452,1.277477,1.047319,1.055707
266,31/05/1988,30/04/1993,Rolling 244,-0.3,-0.11,0,-0.05,0,0.37,0.48,0.45,0.5,0.57,0.038648271,0.042785427,0.048949792,0.040248712,0.040981895
1293,NA,NA,Relative to AR:,0,0.19,0.3,0.25,0.3,0,0.11,0.08,0.13,0.2,1,1.107046,1.266545,1.04141,1.060381
267,30/06/1988,31/05/1993,Rolling 245,-0.28,-0.11,0,-0.05,0,0.38,0.48,0.45,0.52,0.58,0.038671271,0.042816832,0.048753045,0.040277413,0.040890318
1294,NA,NA,Relative to AR:,0,0.17,0.28,0.23,0.28,0,0.1,0.07,0.14,0.2,1,1.1072,1.260704,1.041533,1.057382
268,31/07/1988,30/06/1993,Rolling 246,-0.27,-0.11,0.02,-0.04,0,0.4,0.48,0.45,0.52,0.57,0.038391706,0.042487442,0.047916486,0.039885852,0.04094099
1295,NA,NA,Relative to AR:,0,0.16,0.29,0.23,0.27,0,0.08,0.05,0.12,0.17,1,1.106683,1.248095,1.038918,1.066402
269,31/08/1988,31/07/1993,Rolling 247,-0.27,-0.11,0.02,-0.04,0.01,0.4,0.47,0.45,0.53,0.57,0.038361993,0.042534021,0.047723722,0.039856124,0.040871389
1296,NA,NA,Relative to AR:,0,0.16,0.29,0.23,0.28,0,0.07,0.05,0.13,0.17,1,1.108754,1.244037,1.038948,1.065414
270,30/09/1988,31/08/1993,Rolling 248,-0.27,-0.1,0.01,-0.03,0.02,0.42,0.48,0.45,0.53,0.58,0.038017355,0.042124663,0.047779673,0.03956757,0.03992348
1297,NA,NA,Relative to AR:,0,0.17,0.28,0.24,0.29,0,0.06,0.03,0.11,0.16,1,1.108038,1.256786,1.040777,1.050138
271,31/10/1988,30/09/1993,Rolling 249,-0.25,-0.12,-0.02,-0.06,0,0.43,0.48,0.43,0.52,0.57,0.037781374,0.042117794,0.047884572,0.039592265,0.04014073
1298,NA,NA,Relative to AR:,0,0.13,0.23,0.19,0.25,0,0.05,0,0.09,0.14,1,1.114777,1.267412,1.047931,1.062448
272,30/11/1988,31/10/1993,Rolling 250,-0.25,-0.11,-0.01,-0.05,0,0.43,0.5,0.45,0.53,0.57,0.037761898,0.04204593,0.047568002,0.039549495,0.040138107
1299,NA,NA,Relative to AR:,0,0.14,0.24,0.2,0.25,0,0.07,0.02,0.1,0.14,1,1.113449,1.259683,1.047339,1.062926
273,31/12/1988,30/11/1993,Rolling 251,-0.25,-0.1,-0.03,-0.05,0.02,0.43,0.52,0.43,0.53,0.57,0.037649253,0.041650082,0.04767483,0.039429325,0.039842775
1300,NA,NA,Relative to AR:,0,0.15,0.22,0.2,0.27,0,0.09,0,0.1,0.14,1,1.106266,1.266289,1.04728,1.058262
274,31/01/1989,31/12/1993,Rolling 252,-0.24,-0.1,-0.03,-0.05,0.02,0.43,0.52,0.43,0.53,0.57,0.037638069,0.041659128,0.047424517,0.039439307,0.039828028
1302,NA,NA,Relative to AR:,0,0.14,0.21,0.19,0.26,0,0.09,0,0.1,0.14,1,1.106835,1.260015,1.047857,1.058185
275,28/02/1989,31/01/1994,Rolling 253,-0.25,-0.1,0.01,-0.06,0.02,0.43,0.52,0.45,0.52,0.57,0.037057039,0.041115218,0.045692512,0.038896423,0.039421289
1303,NA,NA,Relative to AR:,0,0.15,0.26,0.19,0.27,0,0.09,0.02,0.09,0.14,1,1.109512,1.233032,1.049637,1.0638
276,31/03/1989,28/02/1994,Rolling 254,-0.22,-0.1,0.01,-0.05,0.05,0.43,0.52,0.45,0.53,0.57,0.036849011,0.041050831,0.045661896,0.038782794,0.039122431
1304,NA,NA,Relative to AR:,0,0.12,0.23,0.17,0.27,0,0.09,0.02,0.1,0.14,1,1.114028,1.239162,1.052479,1.061696
277,30/04/1989,31/03/1994,Rolling 255,-0.24,-0.1,-0.02,-0.08,0.04,0.42,0.53,0.43,0.52,0.55,0.03758273,0.04143978,0.046181666,0.039690543,0.040133561
1305,NA,NA,Relative to AR:,0,0.14,0.22,0.16,0.28,0,0.11,0.01,0.1,0.13,1,1.102628,1.2288,1.056085,1.067872
278,31/05/1989,30/04/1994,Rolling 256,-0.24,-0.09,-0.03,-0.11,0.02,0.42,0.53,0.43,0.52,0.55,0.037289283,0.041079541,0.046155558,0.039580841,0.04009069
1306,NA,NA,Relative to AR:,0,0.15,0.21,0.13,0.26,0,0.11,0.01,0.1,0.13,1,1.101645,1.23777,1.061454,1.075126
279,30/06/1989,31/05/1994,Rolling 257,-0.27,-0.09,-0.04,-0.12,0,0.4,0.53,0.43,0.5,0.55,0.037229386,0.041681256,0.046161678,0.039589183,0.040097089
1307,NA,NA,Relative to AR:,0,0.18,0.23,0.15,0.27,0,0.13,0.03,0.1,0.15,1,1.119579,1.239926,1.063385,1.077028
280,31/07/1989,30/06/1994,Rolling 258,-0.25,-0.07,-0.03,-0.13,0.03,0.4,0.53,0.45,0.5,0.55,0.037355002,0.04167826,0.046156782,0.039743721,0.040178507
1308,NA,NA,Relative to AR:,0,0.18,0.22,0.12,0.28,0,0.13,0.05,0.1,0.15,1,1.115734,1.235625,1.063946,1.075586
281,31/08/1989,31/07/1994,Rolling 259,-0.29,-0.09,-0.05,-0.12,-0.02,0.4,0.53,0.45,0.5,0.55,0.036305485,0.040785091,0.045663888,0.038643256,0.039628838
1309,NA,NA,Relative to AR:,0,0.2,0.24,0.17,0.27,0,0.13,0.05,0.1,0.15,1,1.123386,1.257768,1.064392,1.091539
282,30/09/1989,31/08/1994,Rolling 260,-0.32,-0.08,-0.05,-0.13,-0.04,0.38,0.55,0.45,0.5,0.55,0.036610231,0.040751946,0.045808573,0.038844138,0.039679552
1310,NA,NA,Relative to AR:,0,0.24,0.27,0.19,0.28,0,0.17,0.07,0.12,0.17,1,1.11313,1.251251,1.061019,1.083838
283,31/10/1989,30/09/1994,Rolling 261,-0.29,-0.07,-0.04,-0.12,-0.01,0.4,0.57,0.47,0.52,0.55,0.036693735,0.04069344,0.045501873,0.03887646,0.039718991
1312,NA,NA,Relative to AR:,0,0.22,0.25,0.17,0.28,0,0.17,0.07,0.12,0.15,1,1.109002,1.240045,1.059485,1.082446
284,30/11/1989,31/10/1994,Rolling 262,-0.27,-0.06,-0.04,-0.11,0,0.42,0.58,0.47,0.53,0.57,0.036386657,0.040473544,0.045686574,0.038638479,0.039023857
1313,NA,NA,Relative to AR:,0,0.21,0.23,0.16,0.27,0,0.16,0.05,0.11,0.15,1,1.112318,1.255586,1.061886,1.072477
285,31/12/1989,30/11/1994,Rolling 263,-0.24,-0.04,-0.05,-0.1,0,0.42,0.6,0.45,0.55,0.55,0.036818185,0.04057203,0.045788886,0.038949089,0.039760628
1314,NA,NA,Relative to AR:,0,0.2,0.19,0.14,0.24,0,0.18,0.03,0.13,0.13,1,1.101956,1.243649,1.057876,1.079918
286,31/01/1990,31/12/1994,Rolling 264,-0.25,-0.05,-0.06,-0.1,-0.02,0.42,0.58,0.43,0.55,0.55,0.036801205,0.040607233,0.045897552,0.038897568,0.039741959
1315,NA,NA,Relative to AR:,0,0.2,0.19,0.15,0.23,0,0.16,0.01,0.13,0.13,1,1.103421,1.247175,1.056965,1.079909
287,28/02/1990,31/01/1995,Rolling 265,-0.24,-0.05,-0.04,-0.08,-0.02,0.43,0.57,0.43,0.55,0.57,0.035289408,0.039641124,0.044503383,0.037396502,0.037795722
1316,NA,NA,Relative to AR:,0,0.19,0.2,0.16,0.22,0,0.14,0,0.12,0.14,1,1.123315,1.261097,1.059709,1.071022
288,31/03/1990,28/02/1995,Rolling 266,-0.25,-0.03,-0.02,-0.07,-0.01,0.43,0.57,0.43,0.55,0.57,0.035512759,0.039651262,0.044282354,0.037398077,0.037779
1317,NA,NA,Relative to AR:,0,0.22,0.23,0.18,0.24,0,0.14,0,0.12,0.14,1,1.116536,1.246942,1.053088,1.063815
289,30/04/1990,31/03/1995,Rolling 267,-0.26,-0.02,0,-0.08,-0.03,0.42,0.58,0.45,0.53,0.57,0.035620335,0.039452068,0.043442749,0.037508366,0.037814722
1318,NA,NA,Relative to AR:,0,0.24,0.26,0.18,0.23,0,0.16,0.03,0.11,0.15,1,1.107571,1.219605,1.053004,1.061605
290,31/05/1990,30/04/1995,Rolling 268,-0.25,-0.03,-0.03,-0.1,-0.01,0.42,0.58,0.43,0.52,0.58,0.035364154,0.039421976,0.043749843,0.037559452,0.037096209
1319,NA,NA,Relative to AR:,0,0.22,0.22,0.15,0.24,0,0.16,0.01,0.1,0.16,1,1.114744,1.237124,1.062077,1.048978
291,30/06/1990,31/05/1995,Rolling 269,-0.25,-0.01,-0.07,-0.07,-0.04,0.42,0.6,0.43,0.53,0.58,0.034043029,0.037793962,0.043291409,0.035891241,0.036313084
1320,NA,NA,Relative to AR:,0,0.24,0.18,0.18,0.21,0,0.18,0.01,0.11,0.16,1,1.110182,1.271667,1.05429,1.066682
292,31/07/1990,30/06/1995,Rolling 270,-0.25,-0.02,-0.07,-0.07,-0.04,0.42,0.58,0.43,0.52,0.6,0.033948995,0.038128163,0.043305109,0.035997022,0.036030365
1322,NA,NA,Relative to AR:,0,0.23,0.18,0.18,0.21,0,0.16,0.01,0.1,0.18,1,1.123101,1.275593,1.060327,1.061309
293,31/08/1990,31/07/1995,Rolling 271,-0.24,-0.02,-0.06,-0.07,-0.04,0.43,0.58,0.43,0.52,0.62,0.034041016,0.038314315,0.043236533,0.036083647,0.035747355
1323,NA,NA,Relative to AR:,0,0.22,0.18,0.17,0.2,0,0.15,0,0.09,0.19,1,1.125534,1.270131,1.060005,1.050126
294,30/09/1990,31/08/1995,Rolling 272,-0.23,-0.05,0.02,-0.04,0.08,0.43,0.58,0.45,0.53,0.62,0.030973922,0.036209446,0.039311812,0.033083486,0.031415534
1324,NA,NA,Relative to AR:,0,0.18,0.25,0.19,0.31,0,0.15,0.02,0.1,0.19,1,1.16903,1.269191,1.068108,1.014258
295,31/10/1990,30/09/1995,Rolling 273,-0.21,-0.11,-0.04,-0.14,0.09,0.45,0.57,0.45,0.53,0.63,0.030149475,0.036341051,0.039474093,0.033156688,0.029942148
1325,NA,NA,Relative to AR:,0,0.1,0.17,0.07,0.3,0,0.12,0,0.08,0.18,1,1.205363,1.30928,1.099743,0.993123
296,30/11/1990,31/10/1995,Rolling 274,-0.21,-0.12,-0.06,-0.15,0.12,0.45,0.57,0.43,0.53,0.63,0.030129739,0.03630876,0.039286239,0.033148264,0.029614781
1326,NA,NA,Relative to AR:,0,0.09,0.15,0.06,0.33,0,0.12,-0.02,0.08,0.18,1,1.20508,1.303902,1.100184,0.982909
297,31/12/1990,30/11/1995,Rolling 275,-0.16,-0.03,0,-0.11,0.1,0.47,0.58,0.45,0.55,0.63,0.029530777,0.03384097,0.037525554,0.032401517,0.029481576
1327,NA,NA,Relative to AR:,0,0.13,0.16,0.05,0.26,0,0.11,-0.02,0.08,0.16,1,1.145956,1.270727,1.097212,0.998334
298,31/01/1991,31/12/1995,Rolling 276,-0.16,-0.02,0.01,-0.11,0.1,0.45,0.58,0.47,0.55,0.63,0.029542981,0.033545986,0.036819311,0.032290848,0.029459162
1328,NA,NA,Relative to AR:,0,0.14,0.17,0.05,0.26,0,0.13,0.02,0.1,0.18,1,1.135498,1.246296,1.093013,0.997163
299,28/02/1991,31/01/1996,Rolling 277,-0.16,-0.03,0.05,-0.05,0.12,0.45,0.58,0.48,0.57,0.63,0.029420385,0.033712099,0.035611463,0.030837462,0.029299039
1329,NA,NA,Relative to AR:,0,0.13,0.21,0.11,0.28,0,0.13,0.03,0.12,0.18,1,1.145876,1.210435,1.048166,0.995875
300,31/03/1991,29/02/1996,Rolling 278,-0.16,0.08,0.12,0.13,0.18,0.43,0.6,0.48,0.57,0.62,0.028475749,0.030310395,0.03300494,0.027719831,0.028414801
1330,NA,NA,Relative to AR:,0,0.24,0.28,0.29,0.34,0,0.17,0.05,0.14,0.19,1,1.064428,1.159054,0.973454,0.99786
301,30/04/1991,31/03/1996,Rolling 279,-0.17,0.1,0.14,0.15,0.18,0.43,0.6,0.5,0.57,0.62,0.028427015,0.029697539,0.03218837,0.027437496,0.028394318
1332,NA,NA,Relative to AR:,0,0.27,0.31,0.32,0.35,0,0.17,0.07,0.14,0.19,1,1.044694,1.132316,0.965191,0.99885
302,31/05/1991,30/04/1996,Rolling 280,-0.16,0.1,0.14,0.15,0.18,0.45,0.58,0.48,0.58,0.63,0.028410333,0.029789474,0.032054725,0.02741333,0.028285846
1333,NA,NA,Relative to AR:,0,0.26,0.3,0.31,0.34,0,0.13,0.03,0.13,0.18,1,1.048544,1.128277,0.964907,0.995618
303,30/06/1991,31/05/1996,Rolling 281,-0.15,0.07,0.17,0.13,0.14,0.47,0.57,0.5,0.57,0.63,0.028154396,0.029993266,0.03094646,0.027416715,0.028331533
1334,NA,NA,Relative to AR:,0,0.22,0.32,0.28,0.29,0,0.1,0.03,0.1,0.16,1,1.065314,1.09917,0.973799,1.006292
304,31/07/1991,30/06/1996,Rolling 282,-0.14,0.1,0.17,0.15,0.21,0.47,0.58,0.5,0.57,0.63,0.0271468,0.028750882,0.030210514,0.026321118,0.026568596
1335,NA,NA,Relative to AR:,0,0.24,0.31,0.29,0.35,0,0.11,0.03,0.1,0.16,1,1.059089,1.112857,0.969585,0.978701
305,31/08/1991,31/07/1996,Rolling 283,-0.16,0.07,0.15,0.08,0.16,0.47,0.57,0.5,0.55,0.62,0.027709686,0.029617357,0.03061276,0.027231004,0.027922411
1336,NA,NA,Relative to AR:,0,0.23,0.31,0.24,0.32,0,0.1,0.03,0.08,0.15,1,1.068845,1.104767,0.982725,1.007677
306,30/09/1991,31/08/1996,Rolling 284,-0.12,0.07,0.18,0.08,0.16,0.47,0.57,0.52,0.55,0.62,0.027711691,0.029576697,0.029900282,0.027177848,0.02792053
1337,NA,NA,Relative to AR:,0,0.19,0.3,0.2,0.28,0,0.1,0.05,0.08,0.15,1,1.0673,1.078977,0.980736,1.007536
307,31/10/1991,30/09/1996,Rolling 285,-0.1,0.1,0.22,0.12,0.18,0.48,0.58,0.53,0.57,0.63,0.028057921,0.029653968,0.029569629,0.027407737,0.027632404
1338,NA,NA,Relative to AR:,0,0.2,0.32,0.22,0.28,0,0.1,0.05,0.09,0.15,1,1.056884,1.053878,0.976827,0.984834
308,30/11/1991,31/10/1996,Rolling 286,-0.12,0.08,0.2,0.1,0.18,0.48,0.57,0.52,0.55,0.63,0.028296327,0.030049827,0.029983047,0.027715167,0.02760181
1339,NA,NA,Relative to AR:,0,0.2,0.32,0.22,0.3,0,0.09,0.04,0.07,0.15,1,1.061969,1.059609,0.979462,0.975456
309,31/12/1991,30/11/1996,Rolling 287,-0.12,0.19,0.22,0.15,0.19,0.5,0.58,0.53,0.57,0.65,0.028724416,0.028975278,0.029912227,0.027900322,0.027157191
1340,NA,NA,Relative to AR:,0,0.31,0.34,0.27,0.31,0,0.08,0.03,0.07,0.15,1,1.008733,1.041352,0.97131,0.945439
310,31/01/1992,31/12/1996,Rolling 288,0,0.14,0.11,0.17,0.06,0.52,0.58,0.52,0.57,0.63,0.025246183,0.027047064,0.029224088,0.02481296,0.025912317
1342,NA,NA,Relative to AR:,0,0.14,0.11,0.17,0.06,0,0.06,0,0.05,0.11,1,1.071333,1.157565,0.98284,1.026386
311,29/02/1992,31/01/1997,Rolling 289,0.11,0.16,0.14,0.21,0.05,0.53,0.6,0.53,0.58,0.65,0.025352042,0.027530234,0.029338886,0.025290395,0.026097733
1343,NA,NA,Relative to AR:,0,0.05,0.03,0.1,-0.06,0,0.07,0,0.05,0.12,1,1.085918,1.157259,0.997568,1.029413
312,31/03/1992,28/02/1997,Rolling 290,0.11,0.17,0.14,0.21,0.05,0.55,0.58,0.53,0.57,0.65,0.025314076,0.027519341,0.029372322,0.025291231,0.0260931
1344,NA,NA,Relative to AR:,0,0.06,0.03,0.1,-0.06,0,0.03,-0.02,0.02,0.1,1,1.087116,1.160316,0.999098,1.030774
313,30/04/1992,31/03/1997,Rolling 291,0.06,0.14,0.08,0.16,0.09,0.55,0.57,0.52,0.55,0.65,0.02614785,0.028240773,0.030365111,0.026104787,0.026525684
1345,NA,NA,Relative to AR:,0,0.08,0.02,0.1,0.03,0,0.02,-0.03,0,0.1,1,1.080042,1.161285,0.998353,1.01445
314,31/05/1992,30/04/1997,Rolling 292,0.14,0.17,0.11,0.22,0.11,0.57,0.57,0.52,0.57,0.65,0.026319639,0.02849326,0.030432585,0.026280825,0.026873215
1346,NA,NA,Relative to AR:,0,0.03,-0.03,0.08,-0.03,0,0,-0.05,0,0.08,1,1.082586,1.156269,0.998525,1.021033
315,30/06/1992,31/05/1997,Rolling 293,0.11,0.14,0.12,0.21,0.14,0.57,0.55,0.52,0.57,0.67,0.027198253,0.029682967,0.03076924,0.027076442,0.027093567
1347,NA,NA,Relative to AR:,0,0.03,0.01,0.1,0.03,0,-0.02,-0.05,0,0.1,1,1.091356,1.131295,0.995521,0.996151
316,31/07/1992,30/06/1997,Rolling 294,0.09,0.14,0.12,0.23,0.15,0.57,0.55,0.52,0.57,0.68,0.027509399,0.029956042,0.030882584,0.027136405,0.026907787
1348,NA,NA,Relative to AR:,0,0.05,0.03,0.14,0.06,0,-0.02,-0.05,0,0.11,1,1.088938,1.122619,0.986441,0.978131
317,31/08/1992,31/07/1997,Rolling 295,0.1,0.14,0.13,0.26,0.17,0.58,0.55,0.52,0.57,0.68,0.02848096,0.030948399,0.031523998,0.027829042,0.027599153
1349,NA,NA,Relative to AR:,0,0.04,0.03,0.16,0.07,0,-0.03,-0.06,-0.01,0.1,1,1.086635,1.106845,0.97711,0.969039
318,30/09/1992,31/08/1997,Rolling 296,0.09,0.14,0.13,0.22,0.12,0.58,0.55,0.52,0.55,0.68,0.029490674,0.031788007,0.032340415,0.029043514,0.029108219
1350,NA,NA,Relative to AR:,0,0.05,0.04,0.13,0.03,0,-0.03,-0.06,-0.03,0.1,1,1.0779,1.096632,0.984837,0.987031
319,31/10/1992,30/09/1997,Rolling 297,0.14,0.15,0.13,0.24,0.14,0.6,0.55,0.52,0.55,0.68,0.029724655,0.032143549,0.032669514,0.02943644,0.029315402
1352,NA,NA,Relative to AR:,0,0.01,-0.01,0.1,0,0,-0.05,-0.08,-0.05,0.08,1,1.081377,1.099071,0.990304,0.986232
320,30/11/1992,31/10/1997,Rolling 298,0.12,0.15,0.16,0.26,0.2,0.6,0.57,0.53,0.55,0.7,0.030324891,0.032473685,0.032767599,0.029692002,0.029640449
1353,NA,NA,Relative to AR:,0,0.03,0.04,0.14,0.08,0,-0.03,-0.07,-0.05,0.1,1,1.070859,1.080551,0.97913,0.97743
321,31/12/1992,30/11/1997,Rolling 299,0.14,0.16,0.18,0.26,0.17,0.6,0.57,0.53,0.55,0.7,0.030361947,0.032519296,0.03238606,0.029929579,0.029940064
1354,NA,NA,Relative to AR:,0,0.02,0.04,0.12,0.03,0,-0.03,-0.07,-0.05,0.1,1,1.071054,1.066666,0.98576,0.986105
322,31/01/1993,31/12/1997,Rolling 300,0.14,0.16,0.18,0.25,0.17,0.62,0.57,0.53,0.55,0.7,0.030365974,0.032514334,0.032264775,0.02998914,0.029943697
1355,NA,NA,Relative to AR:,0,0.02,0.04,0.11,0.03,0,-0.05,-0.09,-0.07,0.08,1,1.070749,1.062531,0.98759,0.986094
